,Army Trade,
165,Fireman Ship,982.3
166,Fitter Loco,845.43
167,Mechanic Stationery Steam Engine,845.35
168,Gauger Oil Well,716.7
169,Fitter Railway Signals,845.75
170,Photo Engraving Operatives,926.9
171,Abdar,521.3
172,Bearer,989.9
173,Chokidar,574.1
174,Patroller Customs,572.6
175,Forest Guard,660.2
176,Peon,358.2
177,Shot Firer Operativers,714.9
178,Sub Inspector (Telephones & Telegraph),850.3
179,Telephone Fault Controller,399.2
180,Cable Jointer Telephone & Telegraph,850.3
181,Lineman Telephone,857.2
182,Turret,835.2
183,Shaper,835.25
184,Planer,835.3
185,Slotter,835.4
186,Miller,835.45
187,Gear Cutter,835.5
188,Radial Driller,835.65
189,Cylinder Borer,835.75
190,Honer,836.35
191,Lapper,836.4
192,Radial Driller,835.65
193,Scrapper Operator,974.15
194,Power Shovel Operator,974.23
195,Dredger Operator,974.37
196,Trench Digging Machine Operator,974.3
197,Dumper Operator,974.45
198,Scoop Truck Operator,974.47
199,Tractor Driver Construction,979.1
200,Tractor Driver Farm,650.1
201,Signallership,391.3
202,Telephone Operator,392.3
203,Radio Operator,861.2
204,Carpenter,811.1
205,Mechanic Refrigeration and AC,845.7
206,Seaconny,981.3
207,Paint Mixer,939.4
208,Shipwright,816.2
209,Driver Bus,986.55
210,Driver Ambulance,986.5
211,Shoe Repairer,801.3
212,Skiver,802.18
213,Cutter Machine,802.12
214,Scourer,802.38
215,Sole rounding Machine Operator,802.5
216,Sole Channeller,802.52
217,Niler,802.56
218,Trimmer,802.74
219,Edge Setter,802.78
220,Borer,835.7
221,Grinder,836.1
222,Fitter Railway Carriage,845.47
223,Train Examiner,369.4
224,Welder Gas,872.1
225,Welder Electric,872.2
226,Spot Welder,872.3
227,Well Driller,716.1
228,Driller Fire Broad Vehicle,986.55
229,Derrickman,716.2
230,Trainer Animal,189.55
231,Instrument Musician,180.6
232,Band Master,180.2
233,Musician,180.5
234,Balacksmith,831.1
235,Village Blacksmith,831.2
236,Carpenter Construction,811.2
237,Carpenter General,811.1
238,Carpenter Structural,811.3
239,Bracksman Railway,370.3
240,Parcel Checker,975.1
241,Cook Institutional,520.2
242,Cook Domestic,520.3
243,Pantryman,520.6
244,Head Cook,520.1
245,Driver Car,986.4
246,Driver Auto Rickshaw,986.8
247,Despatch Rider,381.2
248,IC Engine Driver,961.2
249,Air Compressure Operator,961.25
250,Pump Operator,961.7
251,Road Roller Driver,974.7
252,Batching & Mixing Plant Operator Construction,974.83
253,Driller Machine,713.1
254,Boiler Tindal,962.1
255,Boiler Attendt,962.2
256,Concreter,96.8
257,Pile Driver,974.32
258,Farrier,831.6
259,Syce,569.1
260,Chowkidal,574.1
261,Loaders and Unloaders,971.1
262,Boiler Cleaner,963.2
263,Cleaner Vehicles,874.9
264,Motor Attendant,961.9
265,Athletic Coach,193.3
266,Sports Coach,193.4
267,Umpire,193.7
268,Stocksman,82.2
269,Stone Mason,951.1
270,Brick Layor Construction,951.2
271,Blacksmitch,831.1
272,Police Constable,571.3
273,Inspector of Police (JCO),571.1
274,Moulder,725.1
275,Oiler and Greaser,963.1
276,Radar Operator,392.7
277,Washing Machine Operator,550.2
278,Drying Machine Operator,550.3
279,Calenderar Saris,551.7
280,Dry Cleaner,551.2
281,Fork lift Truck Operator,974.55
282,Tyre Repairer,903.6
283,Moulder Rubber Tube,903.7
284,Tyre Moulder,903.4
285,Tube and Tyre Fitter,903.65
286,Painter,932.1
287,Painter Wood Work & Furniture,939.2
288,Painter Building,931.1
289,Painter Steel Structure,931.2
290,Line and Platelayer,985
291,Postman,380.1
292,Dak Peon,381.3
293,Record Lifter,358.9
294,Daftry,358.1
295,Sorter Mail,389.4
296,Jop Printer,921.1
297,Compositor Hand,921.2
298,Impositor,921.3
299,Hand Pressman,923.1
300,Hand Printing Machineman,923.2
301,Harness Maker,803.1
302,Saddler,803.2
303,Wood Sawyer,732.1
304,Wood Machinist,813.1
305,Wood Turner,813.15
306,Planer Wood,813.35
307,Band Saw Operator,732.25
308,Cross cut saw operator,732.4
309,Circular saw operator,732.3
310,Riding Instructor,193.5
311,Stevedore,971.1
312,Slinger,972.2
313,Winch Operator,973.65
314,Splicer Cables,972.3
315,Lascar,981.4
316,Tinsmith,873.5
317,Brazer,872.5
318,Points Jamadar Railway,985.3
319,Pointsman Railway,985.3
320,Signalman,985.1
321,Traffic Shunter Railway,985.4
322,Uholsterer,796.1
323,Cushion Maker,796.4
324,Barber,560.2
325,Baker Bread,777.1
326,Carpenter,811.1
327,Horse Carriage Driver,987.1
328,Cart Driver,987.2
329,Pack Animal Driver,987.4
330,Animal Trainer,189.55
331,Mail Guard RMS,379.1
332,Packer Bags,976
333,Painter Hand,939.1
334,Painters Mate,939.5
335,Leather Cutter Hand,722.2
336,Stitcher Hand,722.2
337,Sweeper,541.1
338,Tailor,791.1
339,Trouser Maker,791.4
340,Shirt Maker,791.5
341,Tailor Cutter,799.5
342,Sewing Machine Operator,795.15
343,Waiter,521.4
344,Butlers,521.9
345,Dhobi,550.1
346,Priest,190.1
